WKT,id,photoURL,lat,long,rubbishRunID,userName,rubbishType,city,totalNumberOfItemsTagged,datetime,date,Mile,dist_m,Morphology,Brand,Survey Type,Data Cleaning Notes
"POINT (-118.0299275 35.7730426)",x85t5P03iIF7zapu8rbf,StreetRubbishPhotos/x85t5P03iIF7zapu8rbf.jpg,35.7730426,-118.0299275,2NOKXdKm9VVgLDwrjzqU,macygustavus,soft plastic,Onyx,1.0,2023-05-17T16:07:24.582542Z,5/17/2023,670.0,479.1204281,,,,No image
"POINT (-117.9877739 35.710439)",jSp6ILqUCVGRFvsTSE3f,StreetRubbishPhotos/jSp6ILqUCVGRFvsTSE3f.jpg,35.710439,-117.9877739,e6cehykZtqfZuz4ZN40K,macygustavus,sanitary waste,Onyx,1.0,2023-05-17T01:02:35.289244Z,5/17/2023,660.0,27.32568285,,,,No image
"POINT (-118.1327128 35.5354176)",aSkYsm6B6zsAvJXKDXxO,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FaSkYsm6B6zsAvJXKDXxO.jpg?alt=media&token=4033dc87-95e6-432e-b9d3-e9eda8834822,35.5354176,-118.1327128,4KEoCfXNQDLJrBWkvhP0,macygustavus,metal,Weldon,1.0,2023-05-15T00:14:58.805688Z,5/15/2023,630.0,80.9072612,Can,,,
"POINT (-118.3064088 35.4535337)",U0vZk3IqEdgEIQa8SU0y,StreetRubbishPhotos/U0vZk3IqEdgEIQa8SU0y.jpg,35.4535337,-118.3064088,wTc049M3KXDmvaYj9EMW,macygustavus,paper,Weldon,1.0,2023-05-14T14:40:13.065608Z,5/14/2023,610.0,815.5739859,,,,No image
"POINT (-118.2996244 35.3590963)",7JzVOEwx2iwHnZMgusjq,StreetRubbishPhotos/7JzVOEwx2iwHnZMgusjq.jpg,35.3590963,-118.2996244,wmi3uaG0rSvzE1qYeh4x,macygustavus,metal,Caliente,1.0,2023-05-13T16:00:32.926444Z,5/13/2023,600.0,328.6027041,,,,No image
"POINT (-118.2645825 35.1156122)",9JFjOrHydj9sUKBVpLst,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F9JFjOrHydj9sUKBVpLst.jpg?alt=media&token=bf162702-d1ae-4289-8441-a81badd084b6,35.1156122,-118.2645825,Bk14VeL7T2l9frxR5KJ5,notracetrails,glass,Tehachapi,1.0,2023-05-11T23:02:23.831768Z,5/11/2023,570.0,230.4822248,Fragment,,,
"POINT (-118.2634985 35.1151584)",NTOlhME4gd5WysyOXfTf,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FNTOlhME4gd5WysyOXfTf.jpg?alt=media&token=8a2be349-38df-4895-8cfb-21061fca09cc,35.1151584,-118.2634985,Bk14VeL7T2l9frxR5KJ5,notracetrails,sanitary waste,Tehachapi,1.0,2023-05-11T22:58:24.298406Z,5/11/2023,570.0,121.1449112,Toilet Paper,,,
"POINT (-118.346856 35.06727942)",iBOSbr27uMS05Phokhvb,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FiBOSbr27uMS05Phokhvb.jpg?alt=media&token=423833b7-a668-4946-85a6-1538fc5efe96,35.06727942,-118.346856,rzGGS8EPe5rsX6x2Im8j,notracetrails,wood,Mojave,1.0,2023-05-11T18:11:58.524918Z,5/11/2023,560.0,128.5238285,,,,
"POINT (-118.3469128 35.06725467)",ZE4CEDCIo1uVKEg8HnC3,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FZE4CEDCIo1uVKEg8HnC3.jpg?alt=media&token=4b5ec420-0023-4620-a3a3-b6d94514ce39,35.06725467,-118.3469128,rzGGS8EPe5rsX6x2Im8j,notracetrails,wood,Mojave,8.0,2023-05-11T18:11:21.783035Z,5/11/2023,560.0,125.7061914,,,,
"POINT (-118.346913 35.06726048)",dvQCkP9Mqkn2HYNCyjMI,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FdvQCkP9Mqkn2HYNCyjMI.jpg?alt=media&token=6902070f-cdbf-4e6e-8c0d-24ee8d3fcfb5,35.06726048,-118.346913,rzGGS8EPe5rsX6x2Im8j,notracetrails,food,Mojave,1.0,2023-05-11T18:11:01.411952Z,5/11/2023,560.0,126.3520134,,,,
