Name,photoURL,trashpiece_lat,trashpiece_long,rubbishRunID,userName,rubbishType,Morphology,Brand,city,totalNumberOfItemsTagged,numberOfItemsTagged,runDescription,datetime,rubbish_run_x,rubbish_run_y,Mile,dist_m,geometry,MileMark_X,MileMark_Y,Survey_Type,Number_Of_People,Reported_Mile_Marker,Is_Control,Extrapolation_Mile_Fraction,Snow_Percent,Night_Survey
"","",36.108175325241,-118.123287661111,KlSWlL6kRwvtSGUtyNUL,notracetrails,other,other,other,"",0,0,"mile 710, 2 surveyers, no trash, last survey!!!",2023-09-25T17:32:42.997181Z,-118.1184912,36.1035937,710,667.249168478133,-118.123287661111|36.108175325241|0,-118.1184912,36.1035937,confirmed_notrash,2,mile 710,FALSE,,0,FALSE
"","",36.2175646517763,-118.137605795747,bMy8LcXwb2OBn8sQGjm2,macygustavus,other,other,other,"",0,0,720 survey SOBO; 2 people; no trash,2023-09-25T00:58:20.153465Z,-118.1368652,36.2095373000001,720,895.071638262033,-118.137605795747|36.2175646517763|0,-118.1368652,36.2095373,confirmed_notrash,2,,FALSE,,0,FALSE
urg70YRxdb8ahFwBqFMN,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Furg70YRxdb8ahFwBqFMN.jpg?alt=media&token=f1fe430a-9b3c-4566-ab2b-4407034b52ec,36.3031023874383,-118.124559249756,ivnUIwDor1wu2K4zBkJe,notracetrails,tobacco,cigarette butt,other,Springville,1,1,"mile 730, 2 surveyers",2023-09-24T20:56:13.899674Z,-118.1274146,36.3031147,730,255.876467217988,-118.124559249756|36.3031023874383|0,-118.1274146,36.3031147,"",2,mile 730,FALSE,,0,FALSE
2Vub1EhOR47fpB4tWq3i,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F2Vub1EhOR47fpB4tWq3i.jpg?alt=media&token=2b7db526-1e8c-4c45-9aa3-2a474e37cf8e,36.3967539874119,-118.160356647996,VRFj9MHAt5jKRQzyQRoe,notracetrails,soft plastic,hair tie,other,Three Rivers,1,2,"mile 740, 2 surveyers",2023-09-24T16:16:22.529734Z,-118.1605743,36.3892983000001,740,829.264785887024,-118.160356647996|36.3967539874119|0,-118.1605743,36.3892983000001,"",2,mile 740,FALSE,,0,FALSE
CaVEiyseDnYXsdA5GTrJ,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FCaVEiyseDnYXsdA5GTrJ.jpg?alt=media&token=84508bc0-9af6-4593-9cba-630433992b1d,36.3970832143002,-118.159974936514,VRFj9MHAt5jKRQzyQRoe,notracetrails,metal,foil,other,Three Rivers,1,2,"mile 740, 2 surveyers",2023-09-24T16:15:20.616152Z,-118.1605743,36.3892983000001,740,867.305140487099,-118.159974936514|36.3970832143002|0,-118.1605743,36.3892983000001,"",2,mile 740,FALSE,,0,FALSE
"","",36.4436661545527,-118.219165904558,bqZi9GYE6HUyHHZVSICx,notracetrails,other,other,other,"",0,0,"mile 750, 2 surveyers, no trash",2023-09-23T23:56:48.208805Z,-118.2212643,36.4373139,750,730.8558592895,-118.219165904558|36.4436661545527|0,-118.2212643,36.4373139,confirmed_notrash,2,mile 750,FALSE,,0,FALSE
0K0nHYhRSPt8JUEms9JL,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2F0K0nHYhRSPt8JUEms9JL.jpg?alt=media&token=0ada4d9d-925d-4043-a13f-7bd23d15b155,36.4909498298612,-118.319586765892,DgLKd2OPnND0jxa9Hp8S,notracetrails,soft plastic,package ends,other,Three Rivers,1,1,"mile 760, 2 surveyers",2023-09-23T17:59:24.346050Z,-118.3215874,36.4899166000001,760,212.571349421424,-118.319586765892|36.4909498298612|0,-118.3215874,36.4899166000001,"",2,mile 760,FALSE,,0,FALSE
Z8lfyFEMqpXAuhvUbn9P,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FZ8lfyFEMqpXAuhvUbn9P.jpg?alt=media&token=98b453c9-9981-4598-919a-568bfea0b18c,36.5812064001229,-118.373738054493,6kHb3cfS3ztNz2HsfgVq,notracetrails,metal,aluminum foil,other,Three Rivers,1,1,"mile 770, 2 surveyers",2023-09-22T01:04:48.605873Z,-118.3740822,36.5803736,770,97.5687448192086,-118.373738054493|36.5812064001229|0,-118.3740822,36.5803736,"",2,mile 770,FALSE,,0,FALSE
a2ms4KCBjGvn6ORstCM2,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2Fa2ms4KCBjGvn6ORstCM2.jpg?alt=media&token=62b66ad0-75ba-40cb-b757-64580f669a78,36.6933553671512,-118.372650847953,DB2g3eLeLeAnEsfthYrP,notracetrails,metal,hiking pole ends,other,Three Rivers,1,2,"mile 780, 2 surveyers",2023-09-21T19:33:06.818874Z,-118.373177,36.6911707,780,247.412692872729,-118.372650847953|36.6933553671512|0,-118.373177,36.6911707,"",2,mile 780,FALSE,,0,FALSE
AAKcSPFuhqGtACwbFH1D,https://firebasestorage.googleapis.com:443/v0/b/rubbishproduction-411a1.appspot.com/o/StreetRubbishPhotos%2FAAKcSPFuhqGtACwbFH1D.jpg?alt=media&token=82f3edc4-59ef-4054-8245-b1448d5bf815,36.6942893983127,-118.37373665053,DB2g3eLeLeAnEsfthYrP,notracetrails,soft plastic,bag,other,Three Rivers,1,2,"mile 780, 2 surveyers",2023-09-21T19:27:25.736254Z,-118.373177,36.6911707,780,350.355660074548,-118.37373665053|36.6942893983127|0,-118.373177,36.6911707,"",2,mile 780,FALSE,,0,FALSE
