X,Y,OBJECTID,Mile,Section_Name,FolderPath,Region
-120.7699997,49.0505568,"1",2661,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.764215809,49.04248033,"2",2659.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.763630243,49.036653748,"3",2659,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7830814,49.0252887,"4",2657.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.790781017,49.0207457500001,"5",2657,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7973249,49.0156155000001,"6",2656.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.80416185,49.00318995,"7",2655.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.80019932,48.99998444,"8",2655,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.8009228,48.9932771000001,"9",2654.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.800484265,48.986500241,"10",2654,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.78622055,48.9687102,"11",2652.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7829784,48.9623997,"12",2652,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7768401,48.9519805,"13",2651,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7665871,48.9408525000001,"14",2650,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7639757,48.9340912000001,"15",2649.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7720029,48.925821,"16",2648,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7721687,48.9172072000001,"17",2647,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7700495,48.911458,"18",2646.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.77657034,48.90642058,"19",2646,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.763471039,48.8845779000001,"20",2644,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7623911,48.8810966,"21",2643.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7521014,48.8686217000001,"22",2641.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.748456056,48.8585633770001,"23",2640,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.74305675,48.8422263,"24",2638.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7367731,48.8388780000001,"25",2638,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7332019,48.8318694000001,"26",2637,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.733749,48.8197603,"27",2635.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7239109,48.8087326,"28",2634,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.736108218,48.7914161590001,"29",2632.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.7349215,48.7851195000001,"30",2632,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.728057391,48.7802085820001,"31",2631.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.715453518,48.7732261640001,"32",2630,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.700954,48.7558442000001,"33",2628.5,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
-120.6775886,48.7321939,"34",2626,WA Section L Mile Marker,Mile Marker/5 - Washington/WA Section L,Washington Mile Marker
