Mile,Number_Of_People,Night_Survey,Snow_Percent,count,count_people_cor,count_surveyor_acc,count_night,count_snow,geometry,count_group
10,2,FALSE,0,4,8.84509016430074,9.23482864813822,4,4,-116.52568151|32.6343977070001,1-10
20,2,FALSE,0,66,145.943987710962,152.374672694281,66,66,-116.516697177|32.682713606,11-100
50,,FALSE,0,6,14.0481601585788,13.8522429722073,6,6,-116.4583302|32.9185890000001,1-10
60,,FALSE,0,11,25.7549602907278,25.3957787823801,11,11,-116.525862995|32.9843649950001,11-100
70,,FALSE,0,2,4.6827200528596,4.61741432406911,2,2,-116.5117532|33.0594582000001,1-10
80,3,FALSE,0,2,2.97406963003571,4.61741432406911,2,2,-116.4814331|33.1098712,1-10
90,3,FALSE,0,3,4.46110444505356,6.92612148610367,3,3,-116.5349519|33.1558783,1-10
100,3,FALSE,0,3,4.46110444505356,6.92612148610367,3,3,-116.578046376|33.2082899970001,1-10
110,3,FALSE,0,9,13.3833133351607,20.778364458311,9,9,-116.6526924|33.2735568000001,1-10
120,3,FALSE,0,2,2.97406963003571,4.61741432406911,2,2,-116.635666825|33.343388512,1-10
130,3,FALSE,0,1,1.48703481501785,2.30870716203456,1,1,-116.606538783|33.403003246,1-10
140,3,FALSE,0,1,1.48703481501785,2.30870716203456,1,1,-116.5742034|33.4794204,1-10
150,3,FALSE,0,3,4.46110444505356,6.92612148610367,3,3,-116.5771517|33.5459954,1-10
160,4,FALSE,0,4,4,9.23482864813822,4,4,-116.569367186|33.6403042860001,1-10
180,,FALSE,100,0.118354180777642,0.277109747833618,0.273245144818076,0.118354180777642,1.77545933350727,-116.6717577|33.7794041000001,1-10
190,2,FALSE,0,0.301510986974734,0.666722966329707,0.696100575060676,0.301510986974734,0.301510986974734,-116.7295942|33.8384626000001,1-10
200,3,FALSE,0,3,4.46110444505356,6.92612148610367,3,3,-116.6962809|33.8667763,1-10
210,,FALSE,0,31,72.5821608193239,71.5699220230713,31,31,-116.6973204|33.9308235,11-100
220,1,FALSE,0,3,9.86471776221539,6.92612148610367,3,3,-116.671383001|34.0097387340001,1-10
230,5,FALSE,0,0.0427310826604066,0.0287357647775674,0.0986535565795713,0.0427310826604066,0.0427310826604066,-116.6706569|34.0755078,1-10
240,1,FALSE,10,4,13.1529570162872,9.23482864813822,4,60.0049553582873,-116.7596381|34.1261112,1-10
250,2,FALSE,0,1,2.21127254107518,2.30870716203456,1,1,-116.7145882|34.1717677,1-10
260,1,FALSE,0,0.0778095391907603,0.255856381108296,0.179639440404317,0.0778095391907603,0.0778095391907603,-116.762122344|34.2483442440001,1-10
270,,FALSE,0,0.3740856584578,0.875869207173764,0.863654238895936,0.3740856584578,0.3740856584578,-116.833224517|34.289156162,1-10
280,,FALSE,0,2,4.6827200528596,4.61741432406911,2,2,-116.9322281|34.2883866,1-10
